title,links
Some open questions on arithmetic Zariski pairs,https://arxiv.org/abs/1506.05345
Open questions about Ramsey-type statements in reverse mathematics,https://arxiv.org/abs/1506.04780
Current Open Questions in Complete Mixability,https://arxiv.org/abs/1411.6190
On some open questions in bilinear quantum control,https://arxiv.org/abs/1304.7181
Combinatorial identities related to eigenfunction decompositions of Hill operators: Open Questions,https://arxiv.org/abs/1210.0835
Some open questions on anti-de Sitter geometry,https://arxiv.org/abs/1205.6103
Seminar Notes on Open Questions in Iwasawa Theory - SNOQIT I: The $Λ[ G ]$-modules of Iwasawa theory II: Units and Kummer theory in Iwasawa extensions,https://arxiv.org/abs/1009.3729
Group actions on 4-manifolds: some recent results and open questions,https://arxiv.org/abs/0912.2662
"An Experimental Mathematics Perspective on the Old, and still Open, Question of When To Stop?",https://arxiv.org/abs/0907.0032
"Normals, subnormals and an open question",https://arxiv.org/abs/0906.5412
Extra extension properties of equidimensional holomorphic mappings: results and open questions,https://arxiv.org/abs/0810.4588
Recent progress and open questions on the numerical index of Banach spaces,https://arxiv.org/abs/math/0605781
Basic Properties of Strong Mixing Conditions. A Survey and Some Open Questions,https://arxiv.org/abs/math/0511078
"Some open questions about symplectic 4-manifolds, singular plane curves, and braid group factorizations",https://arxiv.org/abs/math/0410119
The Lyapin's notebook: a collection of unsolved problems in Semigroup Theory,https://arxiv.org/abs/2604.04763
An Optimal Support Function related to the strong openness conjecture,https://arxiv.org/abs/2105.07755
A note on an open conjecture in rational dynamical systems,https://arxiv.org/abs/2101.07796
A sharp effectiveness result of Demailly's strong openness conjecture,https://arxiv.org/abs/1709.05880
A global approximation result by Al Taylor and the strong openness conjecture in C^n,https://arxiv.org/abs/1604.07305
Estimation of weighted $L^2$ norm related to Demailly's Strong Openness Conjecture,https://arxiv.org/abs/1603.05733
The openness conjecture and complex Brunn-Minkowski inequalities,https://arxiv.org/abs/1405.0989
Strong openness conjecture for plurisubharmonic functions,https://arxiv.org/abs/1311.3781
The openness conjecture for plurisubharmonic functions,https://arxiv.org/abs/1305.5781
The openness conjecture for projective manifolds,https://arxiv.org/abs/1305.0544
An algebraic approach to the openness conjecture of Demailly and Kollar,https://arxiv.org/abs/1205.4273
Open Conjectures on Congruences,https://arxiv.org/abs/0911.5665
Vectored Route-length Minimization - A Heuristic and An Open Conjecture,https://arxiv.org/abs/0802.1912
Some problems and conjectures about $L^2$-invariants,https://arxiv.org/abs/2311.17830
Around the Gauss circle problem: Hardy's conjecture and the distribution of lattice points near circles,https://arxiv.org/abs/2305.03549
Twisted GGP Problems and Conjectures,https://arxiv.org/abs/2204.10108
Semigroups of rational functions: some problems and conjectures,https://arxiv.org/abs/2110.01507
On a general Syracuse problem with conjectures,https://arxiv.org/abs/2108.13845
3x + 1 Problem. Syracuse Conjecture,https://arxiv.org/abs/1910.05622
"The Erdős-Ulam problem, Lang's conjecture, and uniformity",https://arxiv.org/abs/1901.02616
"On the Erdös flat polynomials problem, Chowla conjecture and Riemann Hypothesis",https://arxiv.org/abs/1609.03435
"Theorems, Problems and Conjectures",https://arxiv.org/abs/1207.4045
Rationality problems and conjectures of Milnor and Bloch-Kato,https://arxiv.org/abs/1203.4022
Problems and Conjectures in Matrix and Operator Inequalities,https://arxiv.org/abs/1201.5232
A generalization of the Collatz problem and conjecture,https://arxiv.org/abs/0810.5169
"Problems and Conjectures presented at the Third International Conference on Permutation Patterns, University of Florida, March 7-11, 2005",https://arxiv.org/abs/math/0505504
Negative (and Positive) Circles in Signed Graphs: A Problem Collection,https://arxiv.org/abs/1701.07963
Negative Circles in Signed Graphs: A Problem Collection,https://arxiv.org/abs/1610.04690
"Problem collection from the IML programme: Graphs, Hypergraphs, and Computing",https://arxiv.org/abs/1511.00270
Drone-Aided Blood Collection Routing Problem: A Column Generation Approach,https://arxiv.org/abs/2601.20693
Solving the Integrated Bin Allocation and Collection Routing Problem for Municipal Solid Waste: a Benders Decomposition Approach,https://arxiv.org/abs/2210.01580
Exploring Progressions: A Collection of Problems,https://arxiv.org/abs/0904.3855
A Collection of Problems on Spectrally Bounded Operators,https://arxiv.org/abs/0810.2673
LIBOPT - An environment for testing solvers on heterogeneous collections of problems - Version 1.0,https://arxiv.org/abs/cs/0703025
Conformally invariant scaling limits (an overview and a collection of problems),https://arxiv.org/abs/math/0602151
Solving a Research Problem in Mathematical Statistics with AI Assistance,https://arxiv.org/abs/2511.18828
Research problems on relations between Nijenhuis geometry and integrable systems,https://arxiv.org/abs/2410.04276
Grothendieck's inequality and completely correlation preserving functions -- a summary of recent results and an indication of related research problems,https://arxiv.org/abs/2010.00746
Beyond the Leaderboard: Insight and Deployment Challenges to Address Research Problems,https://arxiv.org/abs/1811.03014
Research Problems in Function Theory (New Edition),https://arxiv.org/abs/1809.07200
Additive Combinatorics: A Menu of Research Problems,https://arxiv.org/abs/1705.07444
Research problem: The completion number of a graph,https://arxiv.org/abs/math/0312390
Cowen-Douglas operators and the third of Halmos' ten problems,https://arxiv.org/abs/1904.10401
A few problems on monodromy and discriminants,https://arxiv.org/abs/1504.01997
