Unnamed: 0,macro_subject,domain_group,category_tag,open_status,paper_title,paper_id
43,Theoretical Computer Science,Theoretical Computer Science,Algorithmic semi-algebraic geometry,open,,0708.2854
44,Mathematical Physics,Mathematical Physics,Quantum channels and Choi rank,unknown,Open Problems in Quantum Information Theory,0708.1902
45,Theoretical Computer Science,Theoretical Computer Science,complexity of computing Betti numbers of semi-algebraic sets,open,,0708.2854
46,Mathematical Physics,Mathematical Physics,Unital completely positive maps,unknown,Open Problems in Quantum Information Theory,0708.1902
47,Theoretical Computer Science,Theoretical Computer Science,algorithmic real algebraic geometry,open,,0708.2854
48,Mathematical Physics,Mathematical Physics,block matrix decompositions in quantum information,unknown,Open Problems in Quantum Information Theory,0708.1902
49,Theoretical Computer Science,Theoretical Computer Science,Roadmap algorithms in real algebraic geometry,partially_solved,,0708.2854
50,Mathematical Physics,Mathematical Physics,block matrix decompositions,unknown,Open Problems in Quantum Information Theory,0708.1902
51,Analysis,"Analysis, PDEs, and Dynamics",Holomorphic mappings and affine fibrations,unknown,,0711.0605
52,Mathematical Physics,Mathematical Physics,Quantum channel multiplicativity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
53,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,,0711.4132
54,Mathematical Physics,Mathematical Physics,Quantum channel multiplicativity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
55,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,,0711.4132
56,Mathematical Physics,Mathematical Physics,Quantum channel output norms,unknown,Open Problems in Quantum Information Theory,0708.1902
57,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,,0711.4132
58,Mathematical Physics,Mathematical Physics,quantum channel multiplicativity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
59,Analysis,"Analysis, PDEs, and Dynamics",operator ideals,unknown,,0711.4132
60,Mathematical Physics,Mathematical Physics,quantum channel capacities,open,Open Problems in Quantum Information Theory,0708.1902
61,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,,0711.4132
62,Mathematical Physics,Mathematical Physics,Quantum channel p-norm multiplicativity,solved,Open Problems in Quantum Information Theory,0708.1902
63,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,,0711.4132
64,Mathematical Physics,Mathematical Physics,quantum channel multiplicativity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
65,Geometry,Geometry and Topology,Infinite-dimensional Lie groups,solved,,0801.1919
66,Mathematical Physics,Mathematical Physics,Quantum channel multiplicativity,unknown,Open Problems in Quantum Information Theory,0708.1902
67,Algebra,Algebra and Representation Theory,Direct limit Lie groups,solved,,0801.1919
68,Mathematical Physics,Mathematical Physics,quantum channel additivity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
69,Algebra,Algebra and Representation Theory,direct limits of Lie groups,solved,,0801.1919
70,Mathematical Physics,Mathematical Physics,quantum channel multiplicativity,unknown,Open Problems in Quantum Information Theory,0708.1902
71,Geometry,Geometry and Topology,Diffeomorphism groups and Taylor series,solved,,0801.1919
72,Mathematical Physics,Mathematical Physics,Quantum channels and Rényi entropy additivity,solved,Open Problems in Quantum Information Theory,0708.1902
73,Analysis,"Analysis, PDEs, and Dynamics",Derivations on Banach algebras,open,A Collection of Problems on Spectrally Bounded Operators,0810.2673
74,Mathematical Physics,Mathematical Physics,Quantum channel additivity,partially_solved,Open Problems in Quantum Information Theory,0708.1902
75,Analysis,"Analysis, PDEs, and Dynamics",Banach algebra preserver problems,open,A Collection of Problems on Spectrally Bounded Operators,0810.2673
76,Mathematical Physics,Mathematical Physics,Quantum channel additivity,unknown,Open Problems in Quantum Information Theory,0708.1902
77,Analysis,"Analysis, PDEs, and Dynamics",spectral isometries on C*-algebras,unknown,A Collection of Problems on Spectrally Bounded Operators,0810.2673
78,Mathematical Physics,Mathematical Physics,Quantum channel additivity,unknown,Open Problems in Quantum Information Theory,0708.1902
79,Analysis,"Analysis, PDEs, and Dynamics",Spectrally bounded operators on von Neumann algebras,open,A Collection of Problems on Spectrally Bounded Operators,0810.2673
80,Mathematical Physics,Mathematical Physics,Quantum channel multiplicativity,solved,Open Problems in Quantum Information Theory,0708.1902
81,Analysis,"Analysis, PDEs, and Dynamics",Spectrally bounded operators on C*-algebras,open,A Collection of Problems on Spectrally Bounded Operators,0810.2673
82,Mathematical Physics,Mathematical Physics,quantum channel multiplicativity,unknown,Open Problems in Quantum Information Theory,0708.1902
83,Analysis,"Analysis, PDEs, and Dynamics",Spectrally bounded operators on von Neumann algebras,open,A Collection of Problems on Spectrally Bounded Operators,0810.2673
84,Mathematical Physics,Mathematical Physics,Minimal output entropy additivity,solved,Open Problems in Quantum Information Theory,0708.1902
85,Geometry,Geometry and Topology,Complex geometry of Kähler surfaces,unknown,,0810.4588
86,Mathematical Physics,Mathematical Physics,Quantum channel degradability,unknown,Open Problems in Quantum Information Theory,0708.1902
87,Geometry,Geometry and Topology,Holomorphic extension on Kähler manifolds,unknown,,0810.4588
88,Mathematical Physics,Mathematical Physics,N-representability and local invariants of reduced density matrices,open,Open Problems in Quantum Information Theory,0708.1902
89,Analysis,"Analysis, PDEs, and Dynamics",Hartogs extension of meromorphic mappings,unknown,,0810.4588
90,Theoretical Computer Science,Theoretical Computer Science,algorithmic semi-algebraic geometry,open,Algorithmic Semi-algebraic Geometry and Topology -- Recent Progress and Open Problems,0708.2854
91,Analysis,"Analysis, PDEs, and Dynamics",Meromorphic extension from Hartogs figures,unknown,,0810.4588
92,Theoretical Computer Science,Theoretical Computer Science,Computational semi-algebraic topology,open,Algorithmic Semi-algebraic Geometry and Topology -- Recent Progress and Open Problems,0708.2854
93,Geometry,Geometry and Topology,complex affine manifolds and pseudoconcavity,unknown,,0810.4588
94,Theoretical Computer Science,Theoretical Computer Science,algorithmic semi-algebraic geometry,unknown,Algorithmic Semi-algebraic Geometry and Topology -- Recent Progress and Open Problems,0708.2854
95,Geometry,Geometry and Topology,Meromorphic map extension,unknown,,0810.4588
96,Theoretical Computer Science,Theoretical Computer Science,algorithmic semi-algebraic geometry / roadmap algorithms,partially_solved,Algorithmic Semi-algebraic Geometry and Topology -- Recent Progress and Open Problems,0708.2854
97,Analysis,"Analysis, PDEs, and Dynamics",Meromorphic extension and deformations,unknown,,0810.4588
98,Theoretical Computer Science,Theoretical Computer Science,algorithmic semi-algebraic geometry,open,Algorithmic Semi-algebraic Geometry and Topology -- Recent Progress and Open Problems,0708.2854
99,Analysis,"Analysis, PDEs, and Dynamics",Meromorphic extension on complex manifolds,unknown,,0810.4588
100,Mathematical Physics,Mathematical Physics,AdS3/CFT2 chiral primary correlators,partially_solved,Matching of correlators in AdS3/CFT2,0709.1838
101,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,open,A Short Note on some open problems in the geometry of operator ideals,0711.4132
102,Geometry,Geometry and Topology,Complex projective geometry / coverings,unknown,,0810.4588
103,Mathematical Physics,Mathematical Physics,AdS/CFT holographic correlators,unknown,Matching of correlators in AdS3/CFT2,0709.1838
104,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,A Short Note on some open problems in the geometry of operator ideals,0711.4132
105,Geometry,Geometry and Topology,CR submanifolds in complex projective space,unknown,,0810.4588
106,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals and local reflexivity,unknown,A Short Note on some open problems in the geometry of operator ideals,0711.4132
107,Geometry,Geometry and Topology,Complex surfaces and disk-convexity,unknown,,0810.4588
108,Analysis,"Analysis, PDEs, and Dynamics",Operator ideals,open,A Short Note on some open problems in the geometry of operator ideals,0711.4132
109,Geometry,Geometry and Topology,disk-convexity in complex manifolds,unknown,,0810.4588
110,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,A Short Note on some open problems in the geometry of operator ideals,0711.4132
111,Analysis,"Analysis, PDEs, and Dynamics",Several complex variables / nonschlicht domains,unknown,,0810.4588
112,Analysis,"Analysis, PDEs, and Dynamics",Banach operator ideals,unknown,A Short Note on some open problems in the geometry of operator ideals,0711.4132
113,Geometry,Geometry and Topology,Meromorphic mappings and volume bounds,unknown,,0810.4588
114,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",KdV with almost periodic initial data,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
115,Geometry,Geometry and Topology,Meromorphic mappings and extension theorems,unknown,,0810.4588
116,Probability,"Probability, Statistics, and ML",Random matrix universality,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
117,Geometry,Geometry and Topology,Complex surfaces and global spherical shells,open,,0810.4588
118,Analysis,"Analysis, PDEs, and Dynamics",Riemann-Hilbert asymptotics,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
119,Analysis,"Analysis, PDEs, and Dynamics",Meromorphic mappings and Hartogs extension,unknown,,0810.4588
120,Mathematical Physics,Mathematical Physics,Painlevé transcendents,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
121,Algebra,Algebra and Representation Theory,Lie superalgebra Racah-Wigner calculus,open,,0811.2175
122,Probability,"Probability, Statistics, and ML",spiked random matrices,solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
123,Algebra,Algebra and Representation Theory,Lie superalgebra tensor operators,open,,0811.2175
124,Probability,"Probability, Statistics, and ML",Stochastic Airy operator and β-ensembles,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
125,Mathematical Physics,Mathematical Physics,Lie superalgebra recoupling polynomials,unknown,,0811.2175
126,Analysis,"Analysis, PDEs, and Dynamics",non-self-adjoint spectral asymptotics,open,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
127,Algebra,Algebra and Representation Theory,osp(1|2) recoupling polynomials,unknown,,0811.2175
128,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",long-time asymptotics of integrable PDEs,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
129,Algebra,Algebra and Representation Theory,Lie superalgebras and 6-j symbols,open,,0811.2175
130,Probability,"Probability, Statistics, and ML",Random matrix spacing statistics in traffic/parking models,open,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
131,Mathematical Physics,Mathematical Physics,osp(1|2) 6-j symbols,unknown,,0811.2175
132,Probability,"Probability, Statistics, and ML",Random matrix universality / Tracy-Widom limits,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
133,Mathematical Physics,Mathematical Physics,Lie superalgebra 6-j symbols,unknown,,0811.2175
134,Probability,"Probability, Statistics, and ML",Random matrices and integrable systems,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
135,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-type symmetric colorings of groups,unknown,,0901.3356
136,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Perturbed integrable PDEs,open,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
137,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey theory in groups,partially_solved,,0901.3356
138,Probability,"Probability, Statistics, and ML",KPZ universality / last-passage percolation,open,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
139,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey theory of symmetry in groups,unknown,,0901.3356
140,PDEs and Dynamical Systems,"Analysis, PDEs, and Dynamics",Integrable boundary value problems,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
141,Combinatorics,Discrete Mathematics and Combinatorics,monochromatic symmetric subsets in colored groups,unknown,,0901.3356
142,Analysis,"Analysis, PDEs, and Dynamics",Riemann-Hilbert steepest descent,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
143,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey theory of symmetric subsets in groups,unknown,,0901.3356
144,Probability,"Probability, Statistics, and ML",Random band matrices,partially_solved,Some open problems in random matrix theory and the theory of integrable systems,0712.0849
145,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey theory on compact groups,unknown,,0901.3356
146,Combinatorics,Discrete Mathematics and Combinatorics,measurable chromatic numbers of spheres,unknown,,0901.3356
147,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-type symmetry invariants,open,,0901.3356
148,Combinatorics,Discrete Mathematics and Combinatorics,monochromatic symmetric subsets in colorings,open,,0901.3356
149,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-type invariants for symmetric subsets,open,,0901.3356
150,Combinatorics,Discrete Mathematics and Combinatorics,Shortest-path heuristics in Euclidean networks,unknown,Vectored route-length minimization – a heuristic and an open conjecture,0802.1912
151,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-type symmetric subsets in colorings,unknown,,0901.3356
152,Mathematical Physics,Mathematical Physics,charge density wave transport / sine-Gordon,unknown,An open question: Are topological arguments helpful in setting initial conditions for transport problems and quantization criteria/ quantum computing for Density Wave physics?,0805.0089
153,Combinatorics,Discrete Mathematics and Combinatorics,Ramsey-type symmetry invariants,unknown,,0901.3356
154,Mathematical Physics,Mathematical Physics,topological phase transitions in density wave models,open,An open question: Are topological arguments helpful in setting initial conditions for transport problems and quantization criteria/ quantum computing for Density Wave physics?,0805.0089
155,Combinatorics,Discrete Mathematics and Combinatorics,"Hypergraph transversals and (p,q)-theorems",open,,0902.4207
156,Mathematical Physics,Mathematical Physics,Charge-density-wave soliton field theory,open,An open question: Are topological arguments helpful in setting initial conditions for transport problems and quantization criteria/ quantum computing for Density Wave physics?,0805.0089
157,Combinatorics,Discrete Mathematics and Combinatorics,"(p,q)-theorems for hypergraphs",unknown,,0902.4207
158,Mathematical Physics,Mathematical Physics,Real-time evolution of φ⁴ kink-antikink wavefunctionals,open,An open question: Are topological arguments helpful in setting initial conditions for transport problems and quantization criteria/ quantum computing for Density Wave physics?,0805.0089
159,Combinatorics,Discrete Mathematics and Combinatorics,"Hypergraph transversals (Helly-type / (p,q)-property)",open,,0902.4207
160,Mathematical Physics,Mathematical Physics,sine-Gordon solitons in CDW models,solved,An open question: Are topological arguments helpful in setting initial conditions for transport problems and quantization criteria/ quantum computing for Density Wave physics?,0805.0089
161,Topology,Geometry and Topology,p-compact groups and classifying spaces,unknown,,0903.5034
162,Analysis,"Analysis, PDEs, and Dynamics",Weyl remainder on negatively curved surfaces,open,Some Open Questions in Wave Chaos,0805.4137
163,Topology,Geometry and Topology,p-local finite groups and p-compact groups,unknown,,0903.5034
164,Mathematical Physics,Mathematical Physics,Semiclassical analysis / quantum chaos,partially_solved,Some Open Questions in Wave Chaos,0805.4137
165,Topology,Geometry and Topology,Steenrod algebra cohomology,open,,0903.5034
166,Mathematical Physics,Mathematical Physics,Quantum chaos and spectral statistics,open,Some Open Questions in Wave Chaos,0805.4137
167,Topology,Geometry and Topology,Ext over the Steenrod algebra,open,,0903.5034
168,Mathematical Physics,Mathematical Physics,arithmetic quantum chaos spectral statistics,open,Some Open Questions in Wave Chaos,0805.4137
169,Topology,Geometry and Topology,Singer algebraic transfer,unknown,,0903.5034
170,Mathematical Physics,Mathematical Physics,quantum chaos and length spectrum,open,Some Open Questions in Wave Chaos,0805.4137
171,Topology,Geometry and Topology,Ext over the Steenrod algebra,open,,0903.5034
172,Mathematical Physics,Mathematical Physics,Quantum chaos and arithmetic surfaces,open,Some Open Questions in Wave Chaos,0805.4137
173,Topology,Geometry and Topology,Singer algebraic transfer,partially_solved,,0903.5034
174,Mathematical Physics,Mathematical Physics,Quantum ergodicity and quantum variance,open,Some Open Questions in Wave Chaos,0805.4137
175,Topology,Geometry and Topology,Steenrod algebra cohomology / nilpotence,open,,0903.5034
176,Mathematical Physics,Mathematical Physics,Quantum Unique Ergodicity,partially_solved,Some Open Questions in Wave Chaos,0805.4137
177,Topology,Geometry and Topology,Steenrod algebra cohomology,open,,0903.5034
178,Mathematical Physics,Mathematical Physics,Quantum unique ergodicity and entropy of eigenfunctions,open,Some Open Questions in Wave Chaos,0805.4137
179,Algebra,Algebra and Representation Theory,Cohomology of general linear groups,unknown,,0903.5034
180,Mathematical Physics,Mathematical Physics,Quantum Unique Ergodicity,open,Some Open Questions in Wave Chaos,0805.4137
181,Algebra,Algebra and Representation Theory,group homology of GL_n(F_2),unknown,,0903.5034
182,Mathematical Physics,Mathematical Physics,Quantum unique ergodicity,partially_solved,Some Open Questions in Wave Chaos,0805.4137
183,Topology,Geometry and Topology,stable splitting of classifying spaces,unknown,,0903.5034
184,Mathematical Physics,Mathematical Physics,Random wave conjecture / quantum chaos,open,Some Open Questions in Wave Chaos,0805.4137
185,Algebra,Algebra and Representation Theory,arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
186,Analysis,"Analysis, PDEs, and Dynamics",eigenfunction Lp bounds on negatively curved surfaces,open,Some Open Questions in Wave Chaos,0805.4137
187,Number Theory,Number Theory,Arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
188,Mathematical Physics,Mathematical Physics,Resonances and quantum chaotic scattering,open,Some Open Questions in Wave Chaos,0805.4137
189,Number Theory,Number Theory,arithmetic progressions and irrationality,solved,Exploring Progressions: A Collection of Problems,0904.3855
190,Combinatorics,Discrete Mathematics and Combinatorics,Hamiltonicity of claw-free graphs,open,How many conjectures can you stand? – a survey,074
191,Mathematical Physics,Mathematical Physics,Fractal Weyl law for resonances,partially_solved,Some Open Questions in Wave Chaos,0805.4137
192,Algebra,Algebra and Representation Theory,arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
193,Combinatorics,Discrete Mathematics and Combinatorics,Hamiltonicity of line graphs (Thomassen's conjecture),open,How many conjectures can you stand? – a survey,074
194,Mathematical Physics,Mathematical Physics,fractal Weyl laws,open,Some Open Questions in Wave Chaos,0805.4137
195,Algebra,Algebra and Representation Theory,Arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
196,Combinatorics,Discrete Mathematics and Combinatorics,Dominating closed trails in graphs,open,How many conjectures can you stand? – a survey,074
197,Mathematical Physics,Mathematical Physics,Fractal Weyl laws / quantum resonances,open,Some Open Questions in Wave Chaos,0805.4137
198,Number Theory,Number Theory,arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
199,Combinatorics,Discrete Mathematics and Combinatorics,dominating cycles in cubic graphs,open,How many conjectures can you stand? – a survey,074
200,Mathematical Physics,Mathematical Physics,Quantum chaos and resonances,open,Some Open Questions in Wave Chaos,0805.4137
201,Number Theory,Number Theory,Sums of odd integers,solved,Exploring Progressions: A Collection of Problems,0904.3855
202,Combinatorics,Discrete Mathematics and Combinatorics,Hamiltonian graph theory,open,How many conjectures can you stand? – a survey,074
203,Mathematical Physics,Mathematical Physics,semiclassical measures of resonance states,partially_solved,Some Open Questions in Wave Chaos,0805.4137
204,Number Theory,Number Theory,Arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
205,Combinatorics,Discrete Mathematics and Combinatorics,Hamiltonicity of claw-free graphs,open,How many conjectures can you stand? – a survey,074
206,Mathematical Physics,Mathematical Physics,functional renormalization group for disordered systems,partially_solved,Exact results and open questions in first principle functional RG,0809.1192
207,Number Theory,Number Theory,arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
208,Combinatorics,Discrete Mathematics and Combinatorics,Cycles in cubic graphs,open,How many conjectures can you stand? – a survey,074
209,Mathematical Physics,Mathematical Physics,functional renormalization group for disordered elastic manifolds,open,Exact results and open questions in first principle functional RG,0809.1192
210,Algebra,Algebra and Representation Theory,arithmetic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
211,Combinatorics,Discrete Mathematics and Combinatorics,Dominating cycles in snarks,open,How many conjectures can you stand? – a survey,074
212,Mathematical Physics,Mathematical Physics,Functional renormalization group for disordered elastic systems,partially_solved,Exact results and open questions in first principle functional RG,0809.1192
213,Algebra,Algebra and Representation Theory,harmonic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
214,Combinatorics,Discrete Mathematics and Combinatorics,Dominating cycles in snarks,open,How many conjectures can you stand? – a survey,074
215,Mathematical Physics,Mathematical Physics,functional renormalization group for disordered elastic manifolds,open,Exact results and open questions in first principle functional RG,0809.1192
216,Algebra,Algebra and Representation Theory,harmonic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
217,Combinatorics,Discrete Mathematics and Combinatorics,Cubic graphs and contractible subgraphs,open,How many conjectures can you stand? – a survey,074
218,Mathematical Physics,Mathematical Physics,Functional renormalization group,open,Exact results and open questions in first principle functional RG,0809.1192
219,Algebra,Algebra and Representation Theory,geometric progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
220,Combinatorics,Discrete Mathematics and Combinatorics,Cubic graphs and dominating cycles,open,How many conjectures can you stand? – a survey,074
221,Mathematical Physics,Mathematical Physics,functional renormalization group for disordered elastic manifolds,unknown,Exact results and open questions in first principle functional RG,0809.1192
222,Algebra,Algebra and Representation Theory,Geometric progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
223,Combinatorics,Discrete Mathematics and Combinatorics,Cycle covers in cubic graphs and snarks,open,How many conjectures can you stand? – a survey,074
224,Mathematical Physics,Mathematical Physics,functional renormalization group,unknown,Exact results and open questions in first principle functional RG,0809.1192
225,Analysis,"Analysis, PDEs, and Dynamics",Geometric series,solved,Exploring Progressions: A Collection of Problems,0904.3855
226,Combinatorics,Discrete Mathematics and Combinatorics,"snarks, dominating cycles, and nowhere-zero flows",partially_solved,How many conjectures can you stand? – a survey,074
227,Mathematical Physics,Mathematical Physics,Functional RG and disordered systems,open,Exact results and open questions in first principle functional RG,0809.1192
228,Algebra,Algebra and Representation Theory,arithmetic and harmonic progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
229,Combinatorics,Discrete Mathematics and Combinatorics,Hamiltonian properties of line graphs,open,How many conjectures can you stand? – a survey,074
230,Algebra,Algebra and Representation Theory,arithmetic and geometric means,solved,Exploring Progressions: A Collection of Problems,0904.3855
231,Combinatorics,Discrete Mathematics and Combinatorics,Dominating cycles in cubic graphs,open,How many conjectures can you stand? – a survey,074
232,Algebra,Algebra and Representation Theory,harmonic and geometric progressions,solved,Exploring Progressions: A Collection of Problems,0904.3855
233,Combinatorics,Discrete Mathematics and Combinatorics,Dominating cycles in cubic graphs,open,How many conjectures can you stand? – a survey,074
234,Combinatorics,Discrete Mathematics and Combinatorics,finite series with powers of two,solved,Exploring Progressions: A Collection of Problems,0904.3855
235,Combinatorics,Discrete Mathematics and Combinatorics,Dominating closed trails in cubic graphs,open,How many conjectures can you stand? – a survey,074
